"Units","scenario","region","year","value"
"Million1990US$","Reference","Africa_Eastern",2100,8903240
"Million1990US$","Reference","Africa_Northern",2100,4585490
"Million1990US$","Reference","Africa_Southern",2100,5645760
"Million1990US$","Reference","Africa_Western",2100,24972900
"Million1990US$","Reference","Argentina",2100,1301060
"Million1990US$","Reference","Australia_NZ",2100,4516300
"Million1990US$","Reference","Brazil",2100,5593580
"Million1990US$","Reference","Canada",2100,4387790
"Million1990US$","Reference","Central America and Caribbean",2100,2481890
"Million1990US$","Reference","Central Asia",2100,1593360
"Million1990US$","Reference","China",2100,23526300
"Million1990US$","Reference","Colombia",2100,1822210
"Million1990US$","Reference","EU-12",2100,3372810
"Million1990US$","Reference","EU-15",2100,34538300
"Million1990US$","Reference","Europe_Eastern",2100,645743
"Million1990US$","Reference","Europe_Non_EU",2100,4150880
"Million1990US$","Reference","European Free Trade Association",2100,2664230
"Million1990US$","Reference","India",2100,26822000
"Million1990US$","Reference","Indonesia",2100,6875020
"Million1990US$","Reference","Japan",2100,6387760
"Million1990US$","Reference","Mexico",2100,4985370
"Million1990US$","Reference","Middle East",2100,10749200
"Million1990US$","Reference","Pakistan",2100,3486220
"Million1990US$","Reference","Russia",2100,3505570
"Million1990US$","Reference","South Africa",2100,1395330
"Million1990US$","Reference","South America_Northern",2100,389854
"Million1990US$","Reference","South America_Southern",2100,2967030
"Million1990US$","Reference","South Asia",2100,4594050
"Million1990US$","Reference","South Korea",2100,2066620
"Million1990US$","Reference","Southeast Asia",2100,10084300
"Million1990US$","Reference","Taiwan",2100,726413
"Million1990US$","Reference","USA",2100,29023200
