"Units","scenario","region","year","value"
"Million1990US$","Reference","Africa_Eastern",2050,1001240
"Million1990US$","Reference","Africa_Northern",2050,1596540
"Million1990US$","Reference","Africa_Southern",2050,683730
"Million1990US$","Reference","Africa_Western",2050,2959480
"Million1990US$","Reference","Argentina",2050,658437
"Million1990US$","Reference","Australia_NZ",2050,2197920
"Million1990US$","Reference","Brazil",2050,3044500
"Million1990US$","Reference","Canada",2050,2218400
"Million1990US$","Reference","Central America and Caribbean",2050,774543
"Million1990US$","Reference","Central Asia",2050,812946
"Million1990US$","Reference","China",2050,20227400
"Million1990US$","Reference","Colombia",2050,674684
"Million1990US$","Reference","EU-12",2050,2066120
"Million1990US$","Reference","EU-15",2050,18446700
"Million1990US$","Reference","Europe_Eastern",2050,308158
"Million1990US$","Reference","Europe_Non_EU",2050,2031640
"Million1990US$","Reference","European Free Trade Association",2050,1294380
"Million1990US$","Reference","India",2050,9008460
"Million1990US$","Reference","Indonesia",2050,2906020
"Million1990US$","Reference","Japan",2050,5000510
"Million1990US$","Reference","Mexico",2050,1961500
"Million1990US$","Reference","Middle East",2050,4363090
"Million1990US$","Reference","Pakistan",2050,648276
"Million1990US$","Reference","Russia",2050,2128160
"Million1990US$","Reference","South Africa",2050,652790
"Million1990US$","Reference","South America_Northern",2050,160664
"Million1990US$","Reference","South America_Southern",2050,1194950
"Million1990US$","Reference","South Asia",2050,981994
"Million1990US$","Reference","South Korea",2050,1692750
"Million1990US$","Reference","Southeast Asia",2050,3763810
"Million1990US$","Reference","Taiwan",2050,571518
"Million1990US$","Reference","USA",2050,19168000
