"Units","scenario","region","year","value"
"Million1990US$","Reference","Africa_Eastern",2025,239023
"Million1990US$","Reference","Africa_Northern",2025,627241
"Million1990US$","Reference","Africa_Southern",2025,210847
"Million1990US$","Reference","Africa_Western",2025,690993
"Million1990US$","Reference","Argentina",2025,354128
"Million1990US$","Reference","Australia_NZ",2025,1314320
"Million1990US$","Reference","Brazil",2025,1794230
"Million1990US$","Reference","Canada",2025,1419620
"Million1990US$","Reference","Central America and Caribbean",2025,351963
"Million1990US$","Reference","Central Asia",2025,388181
"Million1990US$","Reference","China",2025,10848300
"Million1990US$","Reference","Colombia",2025,321869
"Million1990US$","Reference","EU-12",2025,1315290
"Million1990US$","Reference","EU-15",2025,12703600
"Million1990US$","Reference","Europe_Eastern",2025,162346
"Million1990US$","Reference","Europe_Non_EU",2025,1083520
"Million1990US$","Reference","European Free Trade Association",2025,870253
"Million1990US$","Reference","India",2025,3076200
"Million1990US$","Reference","Indonesia",2025,1084670
"Million1990US$","Reference","Japan",2025,4278420
"Million1990US$","Reference","Mexico",2025,1023000
"Million1990US$","Reference","Middle East",2025,2092670
"Million1990US$","Reference","Pakistan",2025,199177
"Million1990US$","Reference","Russia",2025,1297180
"Million1990US$","Reference","South Africa",2025,324394
"Million1990US$","Reference","South America_Northern",2025,80231.6
"Million1990US$","Reference","South America_Southern",2025,567326
"Million1990US$","Reference","South Asia",2025,326230
"Million1990US$","Reference","South Korea",2025,1109410
"Million1990US$","Reference","Southeast Asia",2025,1632840
"Million1990US$","Reference","Taiwan",2025,423712
"Million1990US$","Reference","USA",2025,13415100
